reviewer_id,row_id,case_id,query,candidate_code,candidate_text,relevance,confidence,notes
reviewer_1,data_leakage_denylist:A,data_leakage_denylist,target leakage denylist phi_max m1_true m1_lf,A,"## Units and schema checks

Column aliases alone are insufficient. A run should preserve the target unit,
check numeric coercion, report missingness, and reject an unsupported schema
instead of silently guessing the target. Yield-stress predictions are expected
to be finite and non-negative.

## Distribution shift

Random folds do not represent every deployment scenario. When batches,
formulations, powder types, or acquisition periods exist, grouped or temporal
holdouts should be considered. A model can score well under random splits and
still fail on a new formulation domain.",,,
reviewer_1,data_leakage_denylist:B,data_leakage_denylist,target leakage denylist phi_max m1_true m1_lf,B,"## Target leakage denylist

Target and auxiliary true-physics columns must never become model inputs. The
project denylist includes `Tau0_Pa`, `tau_Pa`, `yield_stress`, `phi_max`,
`m1_true`, and `m1_lf`. Hidden-variable predictions must be generated from
allowed features, not copied from true hidden-state columns.

## Split-aware preprocessing

Imputation, scaling, encoding, and learned feature transforms must be fit only
on each training fold or training split. Fitting preprocessing on all rows
before cross-validation leaks validation distribution information and makes
the reported metric optimistic.",,,
reviewer_1,data_leakage_denylist:C,data_leakage_denylist,target leakage denylist phi_max m1_true m1_lf,C,"# YieldMind Domain Seed

YODEL is a yield-stress mechanism family that relates the static yield stress
of dense suspensions to solid volume fraction, maximum packing density `phi_m`,
and contact-network effects. In this repository it is treated as a candidate
mechanism only when the available columns support packing-style features.

Mechanism ablation is required when a generated model claims that a physics
mechanism improves prediction. The same protocol should compare
`with_mechanism` and `without_mechanism`, record delta RMSE and delta R2, and
avoid presenting marginal gains as strong physical validation.",,,
reviewer_1,data_leakage_denylist:D,data_leakage_denylist,target leakage denylist phi_max m1_true m1_lf,D,"# Yield Data Contract And Leakage Controls

Scope: project constraints from `knowledge/yield_domain.py`,
`knowledge/yield_schema.py`, and the workflow validation code.

## Supported layouts

The Lian-style layout maps `Phi` and `SP_percent` to target `Tau0_Pa`. The
Zhou-style layout maps `phi`, `d_s_um`, and optional `powder` to target
`tau_Pa`. A future industrial layout may include `phi`, `d50`, `sigma_d`,
`Emix`, temperature, and target `yield_stress`.",,,
reviewer_1,data_leakage_denylist:E,data_leakage_denylist,target leakage denylist phi_max m1_true m1_lf,E,"## Lian-style packing state

For the temporary Lian layout, the known columns are `Phi`, `SP_percent`, and
the target `Tau0_Pa`. The project notes describe a Lian-style physical layer in
which superplasticizer dosage may control an effective packing state. This is
a candidate relation, not permission to use target-derived hidden columns.

## Hidden physical variables

A physics-informed model may predict a hidden variable such as `phi_m` or
`m1_eff`, then compute yield stress through a constrained physical layer.
Validity diagnostics must verify conditions such as `phi_m > phi`, bounded
`m1_eff`, finite output, and non-negative predicted yield stress.",,,
reviewer_1,safety_redaction:A,safety_redaction,redact authorization api keys passwords database URLs email phone,A,"YieldMind keeps external evidence separate from generated claims. A report that
uses a mechanism should cite concrete knowledge chunks, source paths, document
versions, and index versions. A chunk ID proves traceability, not semantic
truth; whether the text truly supports a claim still needs a labeled check or
human review.",,,
reviewer_1,safety_redaction:B,safety_redaction,redact authorization api keys passwords database URLs email phone,B,"# Execution Isolation And Safety

Scope: execution guarantees implemented by the current sandbox, process
control, redaction, and task-state code.

## Command construction

Execution tools accept an argument vector instead of a shell command string.
Avoiding `shell=True` prevents shell metacharacters from changing command
meaning. Working directories and environment variables are passed explicitly.

## Container isolation

The Docker sandbox runs with networking disabled and applies CPU, memory, and
process-count limits. The image contains fixed numerical dependencies and does
not bake host API keys into an image layer. Docker execution still requires an
explicit authorization flag.",,,
reviewer_1,safety_redaction:C,safety_redaction,redact authorization api keys passwords database URLs email phone,C,"# YieldMind Domain Seed

YODEL is a yield-stress mechanism family that relates the static yield stress
of dense suspensions to solid volume fraction, maximum packing density `phi_m`,
and contact-network effects. In this repository it is treated as a candidate
mechanism only when the available columns support packing-style features.

Mechanism ablation is required when a generated model claims that a physics
mechanism improves prediction. The same protocol should compare
`with_mechanism` and `without_mechanism`, record delta RMSE and delta R2, and
avoid presenting marginal gains as strong physical validation.",,,
reviewer_1,safety_redaction:D,safety_redaction,redact authorization api keys passwords database URLs email phone,D,"# Yield Data Contract And Leakage Controls

Scope: project constraints from `knowledge/yield_domain.py`,
`knowledge/yield_schema.py`, and the workflow validation code.

## Supported layouts

The Lian-style layout maps `Phi` and `SP_percent` to target `Tau0_Pa`. The
Zhou-style layout maps `phi`, `d_s_um`, and optional `powder` to target
`tau_Pa`. A future industrial layout may include `phi`, `d50`, `sigma_d`,
`Emix`, temperature, and target `yield_stress`.",,,
reviewer_1,safety_redaction:E,safety_redaction,redact authorization api keys passwords database URLs email phone,E,"## Cancellation

Long-running OperationAgent subprocesses start in a separate process group.
Cancellation or timeout sends termination to the group and escalates to a kill
signal after a grace period. This covers descendants created by that operation;
ordinary synchronous Python tools still stop only at their supported boundary.

## Secret handling

Tool arguments, results, and event payloads pass through redaction before
sensitive values are persisted. Authorization headers, API keys, passwords,
database URLs, email addresses, and phone-like values are covered by the
current redaction checks. Redaction reduces exposure but is not encryption.",,,
